G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,name
74,26,17.2,2.7,5.4,0.504,2.1,3.4,0.622,0.6,2.1,0.312,0.8,1.1,0.718,1.0,2.2,3.2,1.2,0.4,0.8,1.1,1.8,7.0,8.28,jaylin-williams
63,40,25.2,2.8,6.0,0.464,2.4,4.5,0.534,0.4,1.5,0.255,2.0,2.7,0.731,1.3,6.3,7.7,1.8,1.0,0.9,1.4,2.3,7.9,7.9,jaylin-williams
125,125,35.2,5.0,11.6,0.428,2.1,4.3,0.501,2.8,7.3,0.386,2.5,3.4,0.746,0.5,4.6,5.2,3.3,1.3,0.5,1.8,1.8,15.3,-5.11,tevin-brown
95,71,27.5,4.8,10.2,0.468,3.9,7.6,0.509,0.9,2.6,0.346,3.1,3.7,0.831,0.4,2.2,2.6,2.4,0.8,0.2,1.9,1.6,13.5,7.11,iverson-molinar
65,40,24.3,2.8,6.1,.458,1.4,2.5,.588,1.4,3.6,.371,1.9,2.3,.831,1.4,3.7,5.1,1.4,1.5,0.5,1.3,2.4,8.8,10.80,keon-ellis
50,47,33.7,4.5,11.7,0.389,2.5,6.0,0.417,2.0,5.6,0.358,1.6,2.1,0.748,0.9,5.4,6.3,5.7,1.2,0.1,3.3,2.4,12.7,4.18,jordan-hall
101,74,28.5,3.5,7.8,0.449,2.2,4.3,0.508,1.3,3.5,0.378,1.7,2.3,0.749,1.1,3.9,5.0,1.8,1.0,0.5,1.3,1.6,10.1,11.06,christian-braun
64,64,31.5,5.9,13.0,0.453,4.5,8.7,0.521,1.4,4.3,0.317,3.2,4.1,0.796,0.8,4.8,5.6,3.1,1.4,0.2,2.3,2.6,16.4,-2.55,ryan-rollins
35,28,29.3,5.1,12.6,0.404,3.5,7.5,0.471,1.5,5.1,0.303,2.7,4.1,0.657,0.7,3.0,3.7,2.4,1.3,0.1,2.2,1.9,14.4,7.01,blake-wesley
88,83,29.5,4.3,8.3,0.524,3.8,6.8,0.558,0.6,1.5,0.371,3.0,4.0,0.743,2.3,4.0,6.3,2.6,1.2,1.0,2.2,2.9,12.2,2.82,jake-laravia
107,74,24.2,3.7,8.2,0.456,2.7,5.4,0.508,1.0,2.8,0.356,1.1,1.6,0.729,0.9,4.5,5.4,1.8,0.4,0.8,1.3,2.2,9.6,9.63,pete-nance
130,60,19.0,4.7,8.8,0.531,4.6,8.5,0.536,0.1,0.2,0.31,1.5,2.8,0.529,2.7,4.2,7.0,1.8,0.7,0.5,1.7,2.3,10.8,10.55,trevion-williams
33,5,14.6,2.5,4.8,0.522,2.5,4.4,0.559,0.1,0.4,0.143,1.5,2.0,0.754,1.6,2.2,3.8,0.9,0.8,0.7,0.9,1.8,6.6,7.86,josh-minott
131,115,32.1,3.7,8.3,0.446,2.6,5.0,0.515,1.1,3.3,0.343,1.4,1.8,0.79,0.2,2.7,2.9,5.3,1.2,0.1,2.0,1.8,10.0,7.68,andrew-nembhard
56,12,22.4,4.6,9.1,0.504,4.0,7.2,0.551,0.6,1.9,0.327,3.2,4.2,0.757,2.3,4.1,6.3,1.1,1.6,1.2,2.2,2.7,13.0,7.76,tari-eason
36,26,30.2,4.1,9.8,0.419,2.6,4.9,0.522,1.5,4.8,0.312,1.8,2.7,0.67,0.8,2.6,3.4,2.7,1.2,0.1,1.3,1.3,11.5,7.26,trevor-keels
57,31,18.3,2.9,5.8,0.502,1.8,2.7,0.667,1.1,3.1,0.358,1.2,1.8,0.703,0.9,2.6,3.5,0.6,0.4,0.1,0.6,1.5,8.1,5.21,julian-strawther
88,68,29.4,3.8,8.4,0.459,3.0,5.9,0.502,0.9,2.5,0.358,2.1,2.6,0.814,1.3,3.5,4.9,3.2,1.2,0.2,2.1,2.0,10.7,7.87,wendell-moorejr
90,59,23.9,4.2,8.6,0.488,3.5,6.1,0.578,0.7,2.5,0.27,2.0,2.8,0.699,0.9,3.0,3.9,2.6,0.8,0.2,2.1,1.9,11.1,8.08,alondes-williams
91,56,17.9,2.9,4.9,0.59,2.9,4.8,0.597,0.0,0.1,0.0,1.6,2.3,0.67,2.0,3.1,5.1,0.7,0.5,1.8,0.9,2.3,7.3,7.8,christian-koloko
30,1,25.1,3.3,7.0,0.474,2.5,4.3,0.585,0.8,2.7,0.296,1.8,3.0,0.589,2.0,4.4,6.4,1.8,1.3,0.7,1.6,2.3,9.2,8.76,jeremy-sochan
32,30,31.1,3.7,9.6,0.388,2.6,6.0,0.432,1.1,3.6,0.313,2.0,3.0,0.663,1.8,4.9,6.7,3.0,0.9,0.3,2.3,1.7,10.5,8.59,harrison-ingram
90,61,26.2,3.7,8.2,0.454,2.6,5.0,0.519,1.1,3.2,0.351,2.7,3.4,0.789,1.3,5.1,6.4,0.6,0.9,0.5,1.3,1.9,11.2,4.08,tyler-burton
34,34,28.8,5.4,12.6,0.429,3.1,7.0,0.435,2.3,5.5,0.42,3.9,4.8,0.799,0.9,6.5,7.4,2.0,1.1,1.0,1.9,2.1,16.9,8.17,jabari-smith
62,31,29.2,4.8,11.1,0.431,4.0,8.5,0.462,0.8,2.5,0.325,3.0,3.9,0.779,1.2,5.0,6.2,1.6,1.1,0.7,1.7,2.1,13.4,10.54,johnny-davis
